input,output
"ACCT_0 conference: 
Skip to main content   
  
    Home
 About Us | History | +
 Academic Staff A-Z
 Contact Us
 Library
 News | Latest News
 Events | +

Faculty of Mathematics and Informatics   

Home
Search form 

Home   Research   Events and cooperation   International conferences   Sixteenth International Workshop on Algebraic and Combinatorial Coding Theory (ACCT-XVI)  

Sixteenth International Workshop on Algebraic and Combinatorial Coding Theory (ACCT-XVI) 

September 02-08, 2018, Svetlogorsk(Kaliningrad region),Russia 
First Announsment  

International conferences   

Follow us | on social media

© Faculty of Mathematics and Informatics
","ACCT_0 information: 
Conference dates: September 02-08, 2018
Location: Svetlogorsk (Kaliningrad region), Russia"
"ACHI_0 conference: 
Contact   

ACHI 
International Conference on Advances in Computer-Human Interactions 
ISSN: 2308-4138 

Publication  

Published by IARIA Press (operated by Xpert Publishing Services  ) | 
Archived in the Open Access IARIA ThinkMind Digital Library | 
Prints available at Curran Associates, Inc.
Authors of selected papers will be invited to submit extended versions to a IARIA Journal
Indexing Procedure

Affiliated Journals  

Menu  iaria.org  Contact   
 
ACHI - International Conference on Advances in Computer-Human Interactions 
ISSN: 2308-4138 
 
Registered: with the Library of Congress of the United States of America (ISSN)
 Free Access: in | ThinkMind Digital Library
 ACHI 2025  , The Eighteenth International Conference on Advances in Computer-Human Interactions  
 May 18, 2025 to May 22, 2025 - Nice, France 
 ISBN: 978-1-68558-268-5 
 ACHI 2024  , The Seventeenth International Conference on Advances in Computer-Human Interactions  
 May 26, 2024 to May 30, 2024 - Barcelona, Spain 
 ISBN: 978-1-68558-163-3 
Copyright (c) 2006-2024, IARIA
","ACHI_0 information: 
null
"
"ACHI_2 conference: 
Please enable cookies.  
Sorry, you have been blocked 
You are unable to access  research.com 

Why have I been blocked? 
This website is using a security service to protect itself from online attacks. The action you just performed triggered the security solution. There are several actions that could trigger this block including submitting a certain word or phrase, a SQL command or malformed data. 
 
What can I do to resolve this? 
You can email the site owner to let them know you were blocked. Please include what you were doing when this page came up and the Cloudflare Ray ID found at the bottom of this page. 

Cloudflare Ray ID: 8db1cb4338160953   •  Your IP: Click to reveal  183.80.111.110  •   Performance & security by  Cloudflare
","ACHI_2 information: 
null"
"ACHI_3 conference: 
Home  // ACHI, International Conference on Advances in Computer-Human Interactions 
Type:  conference 
ISSN:  2308-4138 
Notes:  IARIA Conference. 
Editions:  - there are 14 editions. 
 ACHI 2024, The Seventeenth International Conference on Advances in Computer-Human Interactions","ACHI_3 information: 
null
"
"ACII_0 conference: 
Skip to content      
       Attend | Registration
 Visa Information
 Chen Science Writer
 ACII 2023 Travel Bursary
 Hotel Information
 Authors | Presentation Instructions
 Submission Guidelines
 Camera Ready Guidelines | Camera-Ready Instructions (Main Conference)
 Camera-Ready Instructions (Workshop/Demo/Doctoral/LBR)
 Calls | Call for Demos
 Call for Papers
 Call for Tutorials
 Call for Workshops
 Call for Doctoral Consortium
 Call for Late Breaking Results
 Important Dates
 Program | Full Program Schedule
 Keynote Speakers
 Workshops
 Tutorials | Introduction to eye and audio behaviour computing for affect analysis in wearable contexts
 Measurement Validation in Affective Computing
 The potential impact of the AI Act on affective computing research and development
 Useful Links
 Contact Us
 People | Organizing Committee
 Senior Program Committee

ACII 2023 is now over! See you next year in Glasgow! 
 ACII2023 proceedings will be online with IEEE in approximately 1-2 months. 

  In-person Sept. 10–13, at the MIT Media Lab, Cambridge, MA, USA  
 
 Ⓒ Andy Ryan   
Affective Computing + Intelligent Interaction 
September 10-13, 2023, in-person at the MIT Media Lab, Cambridge, Ma, usa 
  
The annual Conference of the Association for the Advancement of Affective Computing ( AAAC  , formerly known as Humaine) is the premier international forum for research on affective and multimodal human-machine interaction and systems. 
 
 ACII 2023 will be held in person at the MIT Media Lab in Cambridge Massachusetts, USA, the birthplace of affective computing. The conference will be co-hosted by the MIT Media Lab, the AAAC  , and other sponsors, to be named below soon. 
 
 Workshops, tutorials, and the doctoral consortium will be held on Sunday September 10, 2023. The main conference will be Monday-Wed Sep 11-13, 2023. 
 
 Stay tuned here for updates on the call for papers, deadlines, and other important program information. 
 
Registration Deadline 
The deadline to register is August 18, 2023  . Please be sure to register  before then! 
 
Useful Links 
 ACII 2023 Submission Portal  
 Submission Guidelines  
 Ethical Statement Instructions  
 SPC/Reviewer Guidelines  
Important Dates 

Call for workshop-, special track-, and tutorial proposals. | 5 Jan 2023
Call for papers for the main conference track | 5 Jan 2023
Submission deadline for workshop- and special track proposals | 17 Feb 2023
Notification for workshop- and special track proposals | 3 March 2023
Submission system opens for *all* tracks | 6 March 2023
Call for special track contributions (including special tracks, DC, demo, workshop papers, and LBR) | 6 March 2023
Submission deadline for main track papers (no extensions possible) | 14 April 2023
Submission deadline for special track papers | 28 April 2023
Submission deadline for workshops | 12 May 2023
Notifications for main track papers | 2 Jun 2023
Notifications for workshop and special track papers | 9 Jun 2023
Late Breaking Results (LBR) submission deadline | 16 June 2023
Submission deadline for tutorial proposals | 16 June 2023
Notification for tutorial proposals | 30 June 2023
Demo deadline | 30 June 2023
Demo notifications | 11 July 2023
LBR notifications | 12 July 2023
Early bird registration deadline | 14 July 2023
Camera ready deadline for all contributions including LBR | 1 Aug 2023
Registration Deadline | 18 Aug 2023
Conference | 10-13 Sept 2023
Workshops  and tutorials | 10 sept 2023
Main conference | 11-13 sept 2023

 MIT, Media Lab, Cambridge, MA USA. Ⓒ Andy Ryan    
Technical Sponsors 
ACII23 is technically co-sponsored by the IEEE Computer Society 

Platinum Sponsors 
     
Gold Sponsors 
   
Silver Sponsors 
     
Bronze Sponsors 

Become a Sponsor! 
If you’d like to become a sponsor for ACII 2023, please contact us  . 

ACII 2023  
International Conference on Affective Computing + Intelligent Interaction, In-person Sept. 10–13, at the MIT Media Lab in Cambridge, MA, USA 

Search  
Search   Search
","ACII_0 information: 
Conference dates: September 10-13, 2023
Location: MIT Media Lab, Cambridge, MA, USA
Registration Deadline: August 18, 2023
Main track paper submission deadline (no extensions possible): April 14, 2023
Notification for main track papers: June 2, 2023
Early bird registration deadline: July 14, 2023
Camera ready deadline for all contributions including LBR: August 1, 2023
"
"ACII_1 conference: 
Join Us
 Sign In
 My Subscriptions
 Magazines
 Journals
 Video Library
 Conference Proceedings
 Individual CSDL Subscriptions
 Institutional CSDL Subscriptions
 Resources | Career Center
 Tech News
 Resource Center
 Press Room
 Advertising
 Librarian Resources
 POLICIES 
Privacy
 Accessibility Statement
 IEEE Nondiscrimination Policy
 XML Sitemap

©IEEE — All rights reserved. Use of this website signifies your agreement to the IEEE Terms and Conditions. 
A not-for-profit organization, the Institute of Electrical and Electronics Engineers (IEEE) is the world's largest technical professional organization dedicated to advancing technology for the benefit of humanity.
","ACII_1 information:
null"
"ACII_3 conference: 
The requested URL was rejected. Please consult with your administrator. 
 
 Your support ID is: < 8203162000977893200> 
 
 [Go Back]
","ACII_3 information: 
null"
"Ada-Europe_0 conference: 
27 th  Ada-Europe 
International Conference on 
 Reliable Software Technologies 
 (AEiC 2023) 
 
13-16 June 2023, Lisbon, Portugal 

Welcome
 Conference Organization 
Call for Contributions
 Chairs and Committees
 Previous Editions
 Conference Program 
Overview
 Invited Speakers
 Tutorials
 Conference Schedule
 Social Program
 Satellite Events 
ADEPT
 DeCPS
 Co-located Meetings
 Practical Information 
Registration
 Venue
 Sponsorship and Exhibition
 Promote the Conference!
 Our sponsors 

The 27th Ada-Europe International Conference on Reliable Software Technologies (AEiC 2023 aka Ada-Europe 2023) will take place in Lisbon, Portugal. The conference schedule comprises a journal track, an industrial track a work-in-progress track, a vendor exhibition, parallel tutorials, and satellite workshops. 
Latest News 
Post conference:  The AEiC 2023 journal track special issue papers are available online as soon as published.  
12 June 2023  : Ada-Europe 2023 booklet of presentation   is published 
 06 June 2023  : Ada-Europe 2023 program  is published 
12 May 2023  : Announcement of keynote talk  by Alcides Fonseca and panel discussion  with Douglas Schmidt, Jochen Quante, Jon Pérez Cerrolaza, and Björn Andersson. 
10 May 2023  : Conference schedule  is published. 
10 April 2023  : Registration  website is open. Conference program synopsis  is published. 
06 April 2023  : Tutorials  of AEiC 2023 are published 
10 March 2023:  Announcement of ADEPT  and DeCPS  satelite workshops 
13 January 2023:  Submission portal for journal-track papers  is open 
24 November 2022:  Call for industrial papers  and call for tutorial proposals  are published. 
01 November 2022:  Call for workshop proposals  is published. 
26 October 2022:  Call for work-in-progress submissions  is published. 
20 October 2022:  Call for journal-track submissions  is published. 
01 October 2022:  Website online. 

Important Dates   
13 January 2023  
 Submission opening for journal-track papers  
  13 February 2023  
 Submission deadline for journal-track papers  
  06 March 2023  
 Submission deadline for industrial-track papers  , work-in-progress papers  , tutorial  , and workshop proposals   20 March 2023  
 First round notification for journal-track papers  , and notification of acceptance for all other types of submissions 
  13-16 June 2023  
 Conference   

 The conference is supported and sponsored by Ada-Europe
","Ada-Europe_0 information: 
Conference dates: June 13-16, 2023
Location: Lisbon, Portugal
"
"Ada-Europe_1 conference: 
27 th  Ada-Europe 
International Conference on 
 Reliable Software Technologies 
 (AEiC 2023) 
 
13-16 June 2023, Lisbon, Portugal 

Welcome
 Conference Organization 
Call for Contributions
 Chairs and Committees
 Previous Editions
 Conference Program 
Overview
 Invited Speakers
 Tutorials
 Conference Schedule
 Social Program
 Satellite Events 
ADEPT
 DeCPS
 Co-located Meetings
 Practical Information 
Registration
 Venue
 Sponsorship and Exhibition
 Promote the Conference!
 Our sponsors 

The 27th Ada-Europe International Conference on Reliable Software Technologies (AEiC 2023 aka Ada-Europe 2023) will take place in Lisbon, Portugal. The conference schedule comprises a journal track, an industrial track a work-in-progress track, a vendor exhibition, parallel tutorials, and satellite workshops. 
Latest News 
Post conference:  The AEiC 2023 journal track special issue papers are available online as soon as published.  
12 June 2023  : Ada-Europe 2023 booklet of presentation   is published 
 06 June 2023  : Ada-Europe 2023 program  is published 
12 May 2023  : Announcement of keynote talk  by Alcides Fonseca and panel discussion  with Douglas Schmidt, Jochen Quante, Jon Pérez Cerrolaza, and Björn Andersson. 
10 May 2023  : Conference schedule  is published. 
10 April 2023  : Registration  website is open. Conference program synopsis  is published. 
06 April 2023  : Tutorials  of AEiC 2023 are published 
10 March 2023:  Announcement of ADEPT  and DeCPS  satelite workshops 
13 January 2023:  Submission portal for journal-track papers  is open 
24 November 2022:  Call for industrial papers  and call for tutorial proposals  are published. 
01 November 2022:  Call for workshop proposals  is published. 
26 October 2022:  Call for work-in-progress submissions  is published. 
20 October 2022:  Call for journal-track submissions  is published. 
01 October 2022:  Website online. 
 Scope and Topics 
The conference is a leading international forum for providers, practitioners, and researchers in reliable software technologies. The conference presentations will illustrate current work in the theory and practice of the design, development, and maintenance of long-lived high-quality software systems for a challenging variety of application domains. The program will allow ample time for keynotes, Q&A sessions and discussions, and social events. Participants include practitioners and researchers from industry, academia, and government organizations active in the promotion and development of reliable software technologies. 
Important Dates   
13 January 2023  
 Submission opening for journal-track papers  
  13 February 2023  
 Submission deadline for journal-track papers  
  06 March 2023  
 Submission deadline for industrial-track papers  , work-in-progress papers  , tutorial  , and workshop proposals   20 March 2023  
 First round notification for journal-track papers  , and notification of acceptance for all other types of submissions 
  13-16 June 2023  
 Conference   

 The conference is supported and sponsored by Ada-Europe","Ada-Europe_1 information: 
Conference dates: June 13-16, 2023
Location: Lisbon, Portugal
"
"Ada-Europe_2 conference: 
Organization
   Ada User Journal
   Conferences
   Ada Resources

» Home | 

Welcome 
Ada-Europe is an international organization, set up to promote the use of Ada. It aims to spread the use and the knowledge of Ada and to promote its introduction into academic and research establishments. Above all, Ada-Europe intends to represent European interests in Ada and Ada-related matters. Read more...  
If you are interested in Ada, why not become a member and join  Ada-Europe. 
 
Next Ada-Europe Conference 
29 th  Ada-Europe International Conference on Reliable Software Technologies (AEiC 2025) | 10-13 June 2025, Paris, France.
  
What's New 

28 October 2024 | AUJ issue 45.2  
 Ada-Europe announce that AUJ issue 45.2 (June 2024) is now available. All members are able to dowload this version from the Ada-Europe website.
17 October 2024 | AEiC 2025 Call for Contributions  
 The 2025 Ada-Europe International Conference on Reliable Software Technologies (AEiC 2024) will take place in Paris, France over 10-13 June 2025. The conference schedule comprises a journal track, an industrial track, a work-in-progress track, a vendor exhibition, parallel tutorials,and satellite workshops. You can also download a PDF  version of the Call for Contributions.
24 July 2024 | Ada-Europe General Assembly 2024. 
 The Ada-Europe GA will tke place on Tuesday 24 September 2024 at 18:30 CEST (16:30 UTC). The meeting will be held online.
14 June 2024 | 28 th  Ada-Europe International Conference on Reliable Software Technologies (AEiC 2024).  The conference ran from 11-14 June 2024, and was held in Barcelona, Spain. 
 This year's conference has now concluded. It featured a strong programme of both technical content and social events, with extremely positive feedback from participants.
30 May 2024 | AUJ issue 44.4 (December 2023) Digital Version is available. 
 .
16 May 2024 | AEiC 2024  is open for registration. 
 The 28 th  Ada-Europe International Conference on Reliable Software Technologies has a full programme of technical sessions, tutorials and workshops. Early bird registration closes on 20 May 2024.
16 June 2023 | AEiC 2023  has successfully concluded. 
 The 27 th  Ada-Europe International Conference on Reliable Software Technologies ran from the 13 th  to the 16 th  June in Lisbon, Portugal. The conference hosted a wide range of papers and talks, with Artificial Intelligence being one of the key topics. A panel discussion on the impacts of AI on critical systems being a conference highlight.
14 June 2023 | Ada 2022 Language Standard to be Published by Springer  . Read the related Press Release  by Ada-Europe.
10 April 2023 | Registration for AEiC is open. This years conference takes place in Lisbon, Portugal. from 13th to 16th June.
07 January 2023 | The papers for the journal-track of the AEiC 2022 conference are available in a Special Issue of the Journal of Systems Architecture dedicated to the conference. A list of articles forming the special issue is available on our conferences page  .
20 October 2022 | 27 th  The Call for Contributuion for (AEiC 2023)  . 
 The Call for Contributions for the 2023 Conference in Lisbon has been made available. There are five tracks at next year’s conference: Journal track, Industrial track, Work in Progress track, along with Workshop and Tutorial submissions.
14 June 2022 | 26th Ada-Europe International Conference on Reliable Software Technologies (AEiC 2022) has begun. This is our first in person conference since 2019 and we have convened in the city of Ghent in Belgium.
07 April 2022 | Ada-Europe General Assembly 2022:  The Ada-Europe General Assembly is being held at 18:30 CEST (17:30 WEST) on Tuesday 07 June 2021, using the Zoom teleconferencing system. All members are invited to attend and contribute to the meeting.
01 April 2022 | 26 th  Ada-Europe International Conference on Reliable Software Technologies (AEiC 2022), Ghent, Belgium, 14-17 June 2022.  
 Our in-person and virtual conference will take in a few months, registration is open.
15 December 2021 | The AEiC 2020 conference was cancelled owing to the COVID-19 pandemic. The journal-track of the conference, however, was supported, with publication in a Special Issue of the Journal of Systems Architecture dedicated to the conference. The Special Issue is now formally complete and available online. A full list of articles forming the special issue is available on our conferences page  .
15 April 2021 | Ada-Europe General Assembly 2021:  The Ada-Europe General Assembly is being held at 18:30 CEST (17:30 WEST) on Tuesday 15 June 2021, using the Zoom teleconferencing system. All members are invited to attend and contribute to the meeting. Joining instructions will be sent out nearer the time.
13 October 2020 | This AUJ issue is once again being made publicly available online without any embargo period. We have taken this approach to minimize the impact of the delays in producing the journal and mailing the printed copies. Nevertheless, we want to assure that you will also receive the printed copies of both March and June issues. We are working to make this happen as soon as possible. The issue Volume 41 No.2 (June) is available at the AUJ online archive.
20 August 2020 | The Special Issue devoted to the scientific proceedings of AEiC 2019 is now formally complete, and the preface  for the special issue is now available online. A full list of articles forming the special issue is available on our conferences page  .
22 June 2020 | The second and final batch of three papers presented at the 24th Ada-Europe International Conference on Reliable Software Technologies (AEiC 2019) have been published with open access in The Journal of Systems Architecture.  Details of these papers are available here on our conferences page  . This posting completes the Special Issue devoted to the scientific proceedings of AEiC 2019.
01 June 2020 | Due to the COVID-19 pandemic Ada-Europe has been unable to print the Ada User Journal this year. The issue Volume 41 No.1 (March) is available at the AUJ online archive.
15 April 2020 | The Ada-Europe General Assembly 2020 will be held online at 18:30 CEST (17:30 WEST) on Tuesday 9th June 2020. We hope that many of you will take the opportunity to participate in the meeting. If you have not received an invitation please contact the secretary via email.
01 April 2020 | Postponement of 20 th  International Real-Time Ada Workshop (IRTAW 2020)  Benicàssim, Spain. Because of the COVID-19 pandemic this even may be help later in the year.
21 March 2020 | 25th Ada-Europe International Conference on Reliable Software Technologies (AEiC 2020) has been postponed due to the COVID-19 pandemic.  It will now take place during June 2021 in Santander, Spain.
16 March 2020 | Three papers presented at 24 th  International Conference on Reliable Software Technologies - Ada-Europe 2019 have been published with open access in The Journal of Systems Architecture.  Details of these papers are available here  on our conferences page. There will be more papers published later in the volume, these will also be open access. The completed special issue is available here.
07 February 2020 | The Deadline for papers has been extended for the 20 th  International Real-Time Ada Workshop (IRTAW 2020)  , Benicàssim, Spain, 1-3 April 2020. The new Deadline is now midnight on Sunday 16th February 2020.
28 November 2019 | Ada User Journal (AUJ) News Digests now available both at the Ada-Europe  and AdaIC  websites. AdaIC and Ada-Europe are happy to announce a new service, providing links to the AUJ News Digests as each becomes available on the Ada-Europe website.
07 November 2019 | Call for Papers for the 20 th  International Real-Time Ada Workshop (IRTAW 2020)  , Benicàssim, Spain, 1-3 April 2020
16 October2019 | Call for Contributions for the 25 th  International Conference on Reliable Software Technologies (AEiC2020)  , Santander, Spain, 8-12 June 2020
13 June 2019 | The Ada-Europe 2019 conference  has concluded. The best presentation award went to Julian Grand for 'Verification & Validation of (Ariane 6) launcher flight software'.
11 June 2019 | The 24 th  Ada-Europe International Conference on Reliable Software Technologies  in Warsaw, Poland has begun. We are looking forward to an excellent few days.
01 April 2019 | DeCPS 2019 - CfP Workshop Dependable & Cyber-Physical Systems Engineering.  Ada-Europe is pleased to announce a new edition of the Workshop on Challenges and new Approaches for Dependable and Cyber-Physical Systems Engineering (DeCPS 2019), to be held on Friday 14 June 2019, co-located with the Ada-Europe 2019 conference in Warsaw, Poland. To foster visibility and interaction, participation in the workshop will be also open to conference participants (at no extra cost).
02 February 2019 | 9th Ada Developer Room at FOSDEM 2019:  FOSDEM, the Free and Open source Software Developers' European Meeting, hosts an Ada Developers full day event.
09 January 2019 | ACM SIGAda announces 2018 award recipients.  ACM's Special Interest Group on Ada (SIGAda) announced that it presented two prestigious awards to members of the Ada community. Brad Moore received the Robert Dewar Award for Outstanding Ada Community Contributions. John A. Hamilton received the ACM SIGAda Distinguished Service Award. The awards were presented during SIGAda's annual HILT Workshop held in Boston, MA, November 5-6, 2018.
18 September 2018 | Train control using Ada on a Raspberry Pi, by Julia Teissl.  Interesting account about the programming of a control system for autonomous trains in Ada.
24 July 2018 | First edition of Ada Lovelace's pioneering algorithm sold for £95,000.  An “extremely rare” leather-bound copy of Ada Lovelace’s pioneering computer program has been sold at auction for nearly £100,000. First published in 1843, the book contains Lovelace’s translation of paper from the Italian mathematician LF Menabrea discussing Charles Babbage’s plans for a computing machine.
23 June 2018 | The Ada-Europe Conference for 2018  held in Lisbon has successfully concluded. All the slides from the talks should be available on the conference website shortly.
25 May 2018 | Ada adopted to build and test the CLARREO Pathfinder  flight software.
01 February 2018 | Ada-Europe 2018  : The Ada-Europe Conference for 2018 will held in Lisbon from 18th to 22nd June 2018.
10 December 2017 | Reasons for Loving Ada  : A good introductory article to explain the benefits of Ada, thenks Riccardo!
03 August 2017 | Community Input for Ada 2020  : WG 9 requests the Ada community to submit enhancements to be considered for inclusion in the next revision of Ada.
16 June 2017 | Ada-Europe 2017  : The Ada-Europe Conference for 2017 held in Vienna has successfuly concluded.
March 2017 | Ada for Automation  : Article on 'Ada for Automation', this is a framework for designing industrial automation applications written in Ada.
19 July 2016 | Ada on Board ExoMars Spacecraft  : AdaCore announce that its GNAT Pro Ada cross compilation environment has been successfully used by Thales Alenia Space to develop and verify the critical software embedded on the ExoMars program.
17 June 2016 | Ada-Europe 2016  : The Ada-Europe Conference for 2016 held in Pisa has formally concluded.
23 February 2016 | Ada 2012 Language Standard Corrigendum Approved by ISO. Read the related joint Press Release  by the Ada Resource Association and Ada-Europe.
10 December 2015 | Ada Lovelace's 200 th  anniversary  . On the occasion of Ada Lovelace's 200 th  birthday, Ada-Europe wants to join the celebrations taking place these days around this remarkable date. The Ada User Journal is publishing valuable materials celebrating Ada's anniversary, including a reprint of ""Lovelace & Babbage and the Creation of the 1843 Notes"", by J. Fuegi and J. Francis, producers of the documentary ""To Dream Tomorrow"" (AUJ 36.2); and also a reprint of the original ""Notes to the translation of the Sketch of The Analytical Engine"" by Ada Lovelace, a thorough description of the machine (AUJ 36.3). A number of events are taking place these days to celebrate Ada's anniversary, with active presence of Ada-Europe members, such as the 200th Birthday of Ada Lovelace  event (Ada-Belgium and the KU Leuven University), or the Ada Lovelace Symposium  organised by Oxford University, with the presence of Ada-Europe's Honorary member John Barnes ( John's slides available here  ). AdaCore has produced a ""brief summary that highlights her life and career, as well as key milestones and resources for the language that bears her name"" ( available here  ). Happy Birthday Lady Ada!
30 June 2015 | In memory of Robert Dewar  . With great sadness we have learned that Robert Dewar, a man of high education, vast culture, great heart, and enormous influence to the Ada programming language and the user and implementor community at large, passed away on 30 June 2015, his family by his side. Our thoughts at this sad time are with his family and friends. He will be warmly remembered.
12 May 2014 | Ada 2012 Reference Manual Published by Springer and as eBook by Ada-Europe. Available for download  and also in paper as Springer's LNCS 8339  . Read the Press Release  by Ada-Europe.
12 November 2013 | Ada 2012 Language Rationale Published. Available for download  and also in paper as Springer's LNCS Vol. 8338  . Read the related joint Press Release  by ARA and Ada-Europe.

Student Programming Contest - The Ada Way 
The Ada Way  is an annual student programming contest organized by Ada-Europe, the international organization that promotes the knowledge and use of Ada in European academia, research and industry. You can find more information here  . 
 
 Sponsors of Ada-Europe (in alphabetical order) 
For further contact details, see the Sponsors section  . 

Your company here?

Webmaster","Ada-Europe_2 information: 
null"
